Pre_surn	Pre_fore
Ash	Leonard
Ash	Leonardi
Ash	Nathanielis
Ash	not given
Ash	Robert
Ash	Simeon
Ashall	Thomas
Ashbell alias Aspull	Thomas
Ashboold	William
Ashborne	Christoforus
Ashborne	Georgius
Ashburn	Christoperus
Ashburne	Christopherus
Ashburne	Johannis
Ashburne	Solomon
Ashburne	Solomonis
Ashburne	Thomas
Ashburner	John
Ashburner	Robert
Ashburner	Thomas
Ashburner	William
Ashburnham	C
Ashburnham	Charles
Ashburnham	Denny
Ashburnham	William
Ashby	Caroli
Ashby	George
Ashby	Lucas
Ashby	Richard
Ashby	Samuel
Ashcroft	Abraham
Ashcroft	John
Ashcroft	Thomas
Ashcroft	Towers
Ashcroft	unknown
Ashdon	Andreas
Ashe	not given
Ashe	Richardus
Ashe	Robert
Ashe	Robert Hoadley
Ashe	Samuel
Ashe	Samuelis
Ashe	Simeon
Ashe	Thomas
Asheburne	Franciscus
Ashefylde	Willimus
Asheley	Richardus
Ashenhurst	Francis
Ashenhurst	Franciscus
Asheton	Christopherus
Asheton	Edmund
Asheton	Georgius
Asheton	Peter
Asheton	Richard
Asheton	Richardus
Asheton	Willimus
Ashfield	Charles
Ashfield	Charles Robert
Ashfield	Tho
Ashford	Daniel
Ashhurst	Thomas
Ashley	Edward
Ashley	Henricus
Ashley	James
Ashley	John
Ashley	Richard
Ashmole	John
Ashmore	Gulielmi
Ashmore	Johannes
Ashpool	Ellae
Ashpoole	Percival
Ashton	Abdie
Ashton	Anthonius
Ashton	Caroli
Ashton	Charles
Ashton	Francis
Ashton	Georgius
Ashton	Gulielmi
Ashton	Gulielmus
Ashton	Henry
Ashton	Jacobus
Ashton	James
Ashton	John
Ashton	Nicholaus
Ashton	Randallus
Ashton	Richard
Ashton	Roger
Ashton	Rogerus
Ashton	Stephanus
Ashton	Stephen
Ashton	Thomas
Ashton	Thome
Ashton	Unknown
Ashton	Waltherus
Ashton	Willi
Ashton	William
Ashton	Willimus
Ashwell	Edward
Ashwell	Georgius
Ashwell	John
Ashwell	Nathaniel
Ashwell	Nicholai
Ashworth	Abraham
Ashworth	Joannes
Ashworth	Johannes
Ashworth	Thomas Ramsden
Aske	Nathaniel
Askew	Adam
Askew	John
Askew	Robertus
Askewe	Christopher
Askewith	Johannes
Askewithe	Johannes
Askham	Anthony
Askwith	Johannes
Aslake	Unknown
Aspden	MIles
Aspedon	Johannes
Aspenall	Nicholaus
Aspenall	William
Aspenell	William
Aspin	Edvardus
Aspin	Gulielmus
Aspin	Harvey
Aspin	Henry
Aspin	John
Aspin	Thomas
Aspinal	Thomas
Aspinall	James
Aspinall	Nicholas
Aspinwall	Edmund
Aspinwall	Edward
Aspland	Isaac
Aspleine	Thomas
Aspley	William
Asplin	
Asplin	William
Assheton	Abdie
Assheton	Richard
Assheton	Richard Hulls
Assheton	Thomas
Asshewell	Johannis
Asshton	Christopheri
Asshton	Richard
Asshwell	John
Astbury	Thomas
Asteley	Hugonis
Asteley	William
Astell	John
Astell	Thomas
Astely	Geoffrey
Astely	Walter
Asterley	William
Astey	Robert
Astin	James
Astle	Ralph
Astlet	Galfridus
Astley	Bernard
Astley	Edward
Astley	Francis Bickley
Astley	Galfrid
Astley	Geoffrey
Astley	Henry
Astley	Henry Milles
Astley	Henry Nicholas
Astley	Herberti
Astley	Herbertus
Astley	Johannes
Astley	John
Astley	John Wolvey
Astley	Nicolaus
Astley	Richard
Astley	Richardus
Astley	Samuelis
Astley	Simo
