Surname	Forename
Argall	John
Argar	Richardus
Argill	Richard
Argintine	Richardus
Argles	John Archambo
Argoll	
Argoll	Richus
Argor	John
Aris	Eldridge
Aris	Johannes
Aris	William
Arkenden	Thomas
Arkwright	Henry
Arkwright	Joseph
Arlett	Henry
Arley	John
Arlidge	William
Arlington	Henry
Armand	James
Armefeeld	Thomas
Armerer	Johannes
Armestead	Michael
Armested	Richard
Armested	Willimus
Armestone	Willimus
Armestrong	Johes
Armestrong	Richardus
Armestronge	Henricus
Armestronge	John
Armestronge	Richardus
Armetriding	James
Armetridinge	John
Armetsteade	William
Armett	John
Armett	Thomas
Armett	William
Armiger	Richard Meux
Armishawe	Robert
Armistead	Anthony
Armistead	Richard
Armistead	William
Armitage	Braithwaite
Armitage	Humphrey
Armitage	Willimus
Armitstead	James
Armitstead	John
Armitstead	Lawrence
Armi[t]stead	William
Armonde	Robert
Armount	Randle
Armstead	Robert
Armstead	William
Armsted	Christopher
Armsted	Gulielmus
Armsted	John
Armsted	William
Armstrong	Edward Pakenham
Armstrong	George Lancelot
Armstrong	Henry
Armstrong	Henry William Gleed
Armstrong	John
Armstrong	Matthew
Armstrong	Robert
Armstrong	William
Armstrong	William Archibald
Armyn	William
Armytage	William
Arnald	John
Arnald	Richard
Arnald	William
Arnall	Jeremias
Arnesford	Thomas
Arnet	George
Arnett	William
Arneway	John
Arney	Edward Francis
Arney	John
Arnfield	Thomas
Arnold	Adrianus
Arnold	Andreas
Arnold	Charles
Arnold	Christopher
Arnold	Edmund
Arnold	Edward
Arnold	Francis
Arnold	Frederick
Arnold	Henry
Arnold	Henry Hamilton
Arnold	James William
Arnold	John
Arnold	John Mills
Arnold	Matthew
Arnold	Michael
Arnold	Richard
Arnold	Robert
Arnold	Robertus
Arnold	Samuel
Arnold	Thomas
Arnold	Thomas Kerchever
Arnold	William
Arnold	William Fillbridge
Arnolde	Nicholaus
