		C	P	P		7003163	5002934
		C	P	P		7003163	5002935
		C	P	P		7003163	5002936
		C	P	P		7003163	5002937
		C	P	P		7003163	5002941
		C	P	P		7003163	5002943
		C	P	P		7003163	5002945
		C	P	P		7000457	5002947
		C	P	P		7003163	5002948
		C	P	P		7003163	5002951
		C	P	P		7003166	5002952
		C	P	P		1003460	5002962
		C	P	P		1003460	5002965
		C	P	P		1003460	5002967
		C	P	P		1003460	5002971
		C	P	P		1003460	5002975
		C	P	P		7006197	5002976
		C	P	P		1003460	5002982
		C	P	P		7003165	5002987
		C	P	P		7003165	5002989
		C	P	P		7003165	5002990
		C	P	P		7003165	5002991
		C	P	P		7003165	5002992
		C	P	P		1003473	5002994
		C	P	P		1003473	5002996
		C	P	P		1003473	5002997
		C	P	P		7003166	5003004
		C	P	P		7003166	5003005
		C	P	P		7003166	5003009
		C	P	P		7003166	5003011
		C	P	P		7003167	5003014
		C	P	P		7003167	5003017
		C	P	P		7003168	5003019
		C	P	P		7003168	5003021
		C	P	P		7003168	5003024
		C	P	P		7003168	5003027
		C	P	P		7003168	5003031
		C	P	P		7003168	5003033
		C	P	P		7003168	5003035
		C	P	P		7003168	5003038
		C	P	P		7003168	5003049
		C	P	P		7003168	5003051
		C	P	P		7003166	5003060
		C	P	P		1003460	5004321
		C	P	P		1003460	6005278
		C	P	P		7003168	7000214
		C	P	P		7003163	7000457
		C	P	P		7003162	7000478
		C	P	P		7003162	7000479
		C	P	P		7009760	7003162
		C	P	P		7009760	7003163
		C	P	P		7009760	7003164
		C	P	P		7009760	7003165
		C	P	P		7009760	7003166
		C	P	P		7009760	7003167
		C	P	P		7009760	7003168
		C	P	P		7003168	7004014
		C	P	P		7003167	7004039
		C	P	P		1003473	7004249
the Etruscan city of Felsina was taken by Gallic Boii in the 4th century BCE	-300	H	N	P	-1000	7024113	7004847
		C	P	P		7003163	7004898
		C	P	P		7003163	7004955
		C	P	P		7003167	7005060
as Velzna, one of the major cities of the Etruscan federation, was destroyed in 264 BCE	-264	H	N	P	-1100	7024113	7005124
		C	P	P		1003460	7006022
		C	P	P		7003162	7006072
		H	N	P		7024113	7006072
		C	P	P		1003460	7006073
		C	P	P		7003164	7006074
		C	P	P		7003165	7006075
		C	P	P		7003165	7006076
		C	P	P		1003473	7006077
		C	P	P		1003460	7006080
		C	P	P		7003166	7006082
		H	N	P		7024113	7006082
		C	P	P		7003162	7006107
		C	P	P		7003162	7006109
		C	P	P		7003162	7006110
		C	P	P		7003162	7006111
		C	P	P		7003162	7006112
		C	P	P		7003162	7006113
		C	P	P		7003162	7006114
		C	P	P		7003162	7006115
		C	P	P		7003162	7006116
		C	P	P		7003162	7006117
		C	P	P		7003162	7006118
		C	P	P		7003162	7006119
		C	P	P		7003162	7006120
		H	N	P		7024113	7006120
		C	P	P		7003162	7006121
		C	P	P		7003162	7006122
		C	P	P		7003162	7006123
		C	P	P		7000457	7006124
		C	P	P		7000457	7006125
		C	P	P		7000457	7006126
		C	P	P		7000457	7006128
		C	P	P		7000457	7006129
		C	P	P		7000457	7006130
		C	P	P		7000457	7006131
		C	P	P		7000457	7006132
		C	P	P		7000457	7006133
		C	P	P		7000457	7006134
		C	P	P		7000457	7006135
		C	P	P		7003163	7006136
		C	P	P		7003163	7006137
		C	P	P		7003163	7006138
		C	P	P		7003163	7006139
		C	P	P		7003163	7006140
		C	P	P		7003163	7006141
		H	N	P		7024113	7006141
		C	P	P		7003163	7006142
		C	P	P		7003163	7006143
		C	P	P		7003163	7006144
		C	P	P		7003163	7006145
		C	P	P		7003163	7006146
		C	P	P		7003163	7006147
		C	P	P		7003163	7006148
		C	P	P		7003163	7006149
		C	P	P		7003163	7006151
		C	P	P		7003163	7006152
		C	P	P		7003163	7006153
		C	P	P		7003163	7006155
		C	P	P		7003163	7006157
		C	P	P		7003163	7006159
		C	P	P		7024741	7006161
		C	P	P		7003163	7006162
		C	P	P		7003163	7006163
		C	P	P		7003163	7006164
		C	P	P		7003163	7006165
		C	P	P		7003163	7006166
		C	P	P		7003163	7006167
		C	P	P		1006715	7006168
		C	P	P		7003163	7006169
		C	P	P		7003163	7006170
		C	P	P		7003163	7006172
		C	P	P		7003163	7006173
		C	P	P		7003163	7006174
		C	P	P		1003460	7006175
		C	P	P		1003460	7006176
