S		9006561	1046118
S	156	9006037	1046135
S		9006279	1046135
S	157	9006037	1046139
S		9006561	1046148
S		9006561	1046205
S		9006561	1046210
S		9006561	1046215
S	160	9006037	1046217
S	88	9006279	1046217
S	161	9006037	1046228
S	165	9006037	1046288
S	I-145	9006541	1046302
S	166	9006037	1046346
S	4	9005423	1046384
S	167	9006037	1046384
S		9006561	1046385
S		9006561	1046438
S		9006561	1046451
S	174	9006037	1046545
S		9006561	1046567
S	I-154	9006541	1046615
S	176	9006037	1046641
S		9006561	1046703
S	175	9006037	1046709
S		9006561	1046712
S		9006561	1046721
S	178	9006037	1046802
S		9006561	1046803
S	189	9006037	1047001
S		9006561	1047023
S	192	9006037	1047036
S		9006561	1047087
S	196	9006037	1047093
S		9006561	1047112
S		9006561	1047144
S	200	9006037	1047151
S	I-177	9006541	1047166
S		9006561	1047269
S		9006561	1047332
S		9006561	1047338
S	208	9006037	1047352
S	209	9006037	1047366
S		9006561	1047446
S		9006561	1047514
S	I-114	9006541	1100052
S	XII, 303	2009007079	1100052
S		9006561	1100124
S	I-136	9006541	1100133
S	I-5	9006541	1101282
S	I-23	9006541	1101289
S	9	9006037	1103685
S	38	9006037	1104120
S	39	9006037	1104138
S	40	9006037	1104163
S		9006561	1104192
S	I-58	9006541	1104629
S		9006561	1105021
S	I-95	9006541	1105368
S	131	9006037	1105685
S		9006561	1106401
S		9006561	1106911
S	I-70	9006483	1108367
S	47	9006567	1108367
S		9006561	1108368
S	121	9006037	1108469
S	134	9006037	1108487
S		9006561	1108527
S	I-174	9006541	1108590
S		9006561	1108724
S	44	9006037	1108893
S	126	9006037	1109344
S	accessed 08/30/99	9006703	1109344
S		2009007094	1109344
S	accessed 08/30/99	2009007181	1109344
S	130	9006037	1109363
S		9006561	1109495
S		9006561	1109756
S		9006009	1111810
S		9006561	1111810
S	accessed 01/20/99	2009007181	1111810
S	117	9006037	1112063
S	67	9006037	1112377
S	154	9006037	1114232
S	146	9006037	1114802
S	45	9006037	1115906
